"Kategori ","Sub Kategori","Nama Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek","Tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal  Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket","Ket"
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020051320201040010000003","1101001135000000000000020051320201040010000003","Sepeda Motor","    ","","Honda ","NF 100 SLD/SUPRA FIT ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2658 AB","MH1HB41145K147312","HB41E1114188","7526063-A","1.00","unit","","11,249,000.00","11,249,000.00","Hibah","12/31/2005","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","No. 03/BAST.K/I/2023 tanggal 30/01/2023","M. Saman","Umum","","Tidak Ada Nota Pajak","Tidak Ada STNK","BPKB nya tidak ada","BPKB nya tidak ada"
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020051320201040010000004","1101001135000000000000020051320201040010000004","Sepeda Motor","NF 100 SLD, Warna Hitam, 100cc","","Honda ","NF 100 SLD/SUPRA FIT ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2639 AB","MH1HB41145K162909","HB41E1169460","7526094-A","1.00","unit","","11,249,000.00","11,249,000.00","Hibah","12/31/2005","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","No. 04/BAST.K/I/2023 tanggal 30/01/2023","Fitriansyah","Umum",""," 16-1-2025"," 16-1-2025","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020051320201040010000005","1101001135000000000000020051320201040010000005","Sepeda Motor","NF 125 D, Warna Hitam, 125 cc","","Honda ","KHARISMA 125 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2371 AB","MH1JB22175K400949","JB22E1400159","5352442-A","1.00","unit","","12,911,000.00","12,911,000.00","Pengadaan APBD","12/31/2005","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","No. 06/BAST.K/I/2023 tanggal 30/01/2023","M. Jamal Johan, SE","Litbang",""," 15-8-2024"," 15-8-2026","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020051320201040010000006","1101001135000000000000020051320201040010000006","Sepeda Motor","NF 125 D, Warna Hitam, 125 cc","","Honda ","KHARISMA ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2372 AB","MH1JB22195K406560","JB22E1404880","5352444-A","1.00","unit","","12,911,000.00","12,911,000.00","Hibah","12/31/2005","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","No. 05/BAST.K/I/2023 tanggal 30/01/2023","Usman Raden","Umum",""," 15-8-2024"," 15-8-2026","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020051320201040010000007","1101001135000000000000020051320201040010000007","Sepeda Motor","NF 125 D, Warna Hitam, 125 cc","","Honda ","KHARISMA ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2373 AB","MH1JB22175K401311","JB22E1400537","5352443A","1.00","unit","","12,911,000.00","12,911,000.00","Hibah","12/31/2005","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","No. 07/BAST.K/I/2023 tanggal 30/01/2023","Afrizal, SE","Program",""," 15-8-2024"," 15-8-2026","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020051320201040010000008","1101001135000000000000020051320201040010000008","Sepeda Motor","NF 125 SD Warna Hitam, 125 cc","","Honda ","KHARISMA ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2374 AB","MH1JB22145K406613","JB22E1404946","5352441-A","1.00","unit","","12,911,000.00","12,911,000.00","Pengadaan APBD","12/31/2005","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","No. 08/BAST.K/I/2023 tanggal 30/01/2023","Zulham Efendi, SE","Umum",""," 15-8-2024"," 15-8-2025","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020051320201040010000009","1101001135000000000000020051320201040010000009","Sepeda Motor","GL 160 D, Warna Hitam, 160 cc","","Honda ","GL 160 D /MEGA PRO ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2406 AU","MH1KC11126K035742","KC11E1035657","2486292-A","1.00","unit","","16,390,000.00","16,390,000.00","Hibah","12/31/2005","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","No. 09/BAST.K/I/2023 tanggal 30/01/2023","Marzuki, SE","P2IK",""," 14-12-2024"," 14-12-2028","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020061320201040010000001","1101001135000000000000020061320201040010000001","Sepeda Motor","NF100 SLD  Warna Hitam , 100 cc","","Honda ","SUPRA FIT ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2391 AR","MHIHB41176K256929","HB41E1253742","9992903-A","1.00","unit","","8,000,000.00","8,000,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","ADB","","No. 010/BAST.K/I/2023 tanggal 30/01/2023","Suryadi B","Umum",""," 7-4-2025"," 7-4-2025","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020061320201040010000002","1101001135000000000000020061320201040010000002","Sepeda Motor","FD125 XSD Warna Orange Silver, 125 cc","","Suzuki","FD 125 XSD/SHOGUN 125 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2151 AV","MH8FD125X6J625239","F4031D625398","8894722-B","1.00","unit","","10,476,232.00","10,476,232.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","No. 011/BAST.K/I/2023 tanggal 30/01/2023","Ibnu Sina, S.Pd","Umum","","","","Nomor Polisi berbeda antara STNK dan BPKB","Nomor Polisi berbeda antara STNK dan BPKB"
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020061320201040010000003","1101001135000000000000020061320201040010000003","Sepeda Motor","FD125  XSD Warna Biru Hitam, 125 cc","","Suzuki","FD 125 XSD/ SHOGUN 125 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2155 AV","MH8FD125X6J759717","F4031D759896","2451733-B","1.00","unit","","10,476,232.00","10,476,232.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","No. 012/BAST.K/I/2023 tanggal 30/01/2023","Herwandi","Umum","","Tidak Ada Nota Pajak","Tidak Ada STNK","BPKB nya ada","BPKB nya ada"
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020061320201040010000004","1101001135000000000000020061320201040010000004","Sepeda Motor","NF 100 SLD Warna Hitam Merah, 100 cc","","Honda"," SUPRA FIT ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2985 AB","MH1HB41156K242309","HB41E1254902","8877532 A","1.00","unit","","12,000,000.00","12,000,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","UNDP","","No. 013/BAST.K/I/2023 tanggal 30/01/2023","Zulliani, SE, M.Si","Keuangan",""," 14-3-2025"," 14-3-2025","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020061320201040010000005","1101001135000000000000020061320201040010000005","Sepeda Motor","NF 125 SD Warna Putih Merah, 125 cc","","Honda"," SUPRA X CAKRAM ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2984 AB","MH1JB51166K473735","JB51E1459425","8877531-A","1.00","unit","","12,000,000.00","12,000,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","UNDP","","No. 014/BAST.K/I/2023 tanggal 30/01/2023","M. Thaib Yahya","Umum",""," 14-3-2025"," 14-3-2025","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020061320201040010000006","1101001135000000000000020061320201040010000006","Sepeda Motor","NF 100 SLD Warna Hitam  Biru, 100 cc","","Honda "," SUPRA FIT ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2983 AB","MHIHB1466K242309","HB41244553","8877530 A","1.00","unit","","12,000,000.00","12,000,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","UNDP","","No. 015/BAST.K/I/2023 tanggal 30/01/2023","Fauzan, ST","P2IK",""," 14-3-2025"," 14-3-2025","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020061320201040010000007","1101001135000000000000020061320201040010000007","Sepeda Motor","NF 100 SLD Warna Hitam Merah, 100 cc","","Honda"," NF 100 - SUPRA FIT ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2163 AU","MH1HB41116K671969","HB41E1656620","1457546-A","1.00","unit","","12,911,000.00","12,911,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","ADB","","No. 41/BAST/VIII/2023 tanggal 07/08/2023","Bukhari","Umum",""," 3-11-2024"," 3-11-2026","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020061320201040010000008","1101001135000000000000020061320201040010000008","Sepeda Motor","GLP III Warna Hitam, 160 cc","","Honda"," GL P III/ MEGA PRO ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2255 AR","MH1KEHL106K171304","KEHLE1169785","8876707-A","1.00","unit","","15,740,000.00","15,740,000.00","Pengadaan APBD","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","No. 041/Umum-Bappeda/IX/2022 tanggal 30/09/2022","Said Hayuzar, MM","P2ESDA",""," 21-3-2025"," 14-3-2028","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020061320201040010000009","1101001135000000000000020061320201040010000009","Sepeda Motor","GL 160 D, Warna Hitam, 160 cc","","Honda"," GL 160 D/ MEGA PRO ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2322 AU","MH1KC11106K035691","KC11E1035605","2486211 A","1.00","unit","","16,390,000.00","16,390,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","No. 017/BAST.K/I/2023 tanggal 30/01/2023","Zainuddin","Umum","","","","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020191320201040010000001","1101001135000000000000020191320201040010000001","Sepeda Motor","Type : 2DP R A/T Warna Hitam, 155 cc","","Yamaha "," N-MAX 155 Non ABS ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2881 AN","MH3SG3190KJ668419","G3E4E1574398","P-05406720","1.00","unit","","27,872,000.00","27,872,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Sepeda Motor Roda 2","","No. 006/UMUM-BAPPEDA/II/2021 tanggal 05/02/2023","H.T.Ahmad Dadek, SH, MH","TU Pimpinan",""," 3-9-2024"," 3-9-2024","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020191320201040010000002","1101001135000000000000020191320201040010000002","Sepeda Motor","Type : 2DP R A/T Warna Hitam, 155 cc","","Yamaha "," N-MAX 155 Non ABS ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2882 AN","MH3SG3190KJ682246","G3E4E1591647","P-05406721","1.00","unit","","27,872,000.00","27,872,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Sepeda Motor Roda 2","","","Syamsul Bahari","Sekretariat",""," 3-9-2024"," 3-9-2024","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020221320201040010000001","1101001135000000000000020221320201040010000001","Sepeda Motor","Type : X1H02N32L1A/T Warna Hitam, 160 cc","","Honda ","Solo ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2549 AP","MH1KF0115NK189622","KF01E1189856","T00658499","1.00","unit","","26,333,000.00","26,333,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Sepeda Motor","","No. 045/UMUM-BAPPEDA/XI/2022 tanggal 11/11/2022","Nurhabibi, SE","Sekretariat",""," 16-12-2024"," 16-12-2027","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020221320201040010000002","1101001135000000000000020221320201040010000002","Sepeda Motor","Type X1H02N32L1A/T Warna HItam, 160 cc","","Honda ","Solo ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2548 AP","MH1KF0119NK189624","KF01E1189855","T00658367","1.00","unit","","26,333,000.00","26,333,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Sepeda Motor","","No. 046/UMUM-BAPPEDA/XI/2022 tanggal 11/11/2022","Zulfikar, S.STP, M.Si","P2KPSDM",""," 16-12-2024"," 16-12-2027","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020221320201040010000003","1101001135000000000000020221320201040010000003","Sepeda Motor","Type X1H02N32L1A/T Warna Merah, 160 cc","","Honda","Solo ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2547 AP","MH1KF0117NK211426","KF01E1211443","T00658500","1.00","unit","","26,333,000.00","26,333,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Sepeda Motor","","No. 047/UMUM-BAPPEDA/XI/2022 tanggal 11/11/2022","Firdaus, SE","Program",""," 16-12-2024"," 16-12-2027","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020221320201040010000004","1101001135000000000000020221320201040010000004","Sepeda Motor","Type X1H02N32L1A/T Warna Merah, 160 cc","","Honda ","Solo ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2546 AP","MH1KF0112NK211432","KF01E1211438","T00659001","1.00","unit","","26,333,000.00","26,333,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Sepeda Motor","","Pinjam Pakai No. 001/II/2023 tanggal 24/02/2023","Azwir","Umum",""," 16-12-2024"," 16-12-2027","",""
"Alat Angkutan Darat Tak Bermotor","Kendaraan Tak Bermotor Angkutan Barang","Baggage Trolly","1102001135000000000000020171320202010090000001","1102001135000000000000020171320202010090000001","Baggage Trolly","    ","","Krisbow  ","RM 201290 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,000,000.00","1,000,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Trolley angkut","","","","","","","","",""
"Alat Angkutan Darat Tak Bermotor","Kendaraan Tak Bermotor Angkutan Barang","Baggage Trolly","1102001135000000000000020171320202010090000002","1102001135000000000000020171320202010090000002","Baggage Trolly","    ","","Krisbow ","","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,000,000.00","1,000,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Trolley angkut","","","","","","","","",""
